1,bayl,燕罗,宝安区
2,gmyt,玉塘,光明区
3,bahc,航城,宝安区
4,baxq,新桥,宝安区
5,gmxh,新湖,光明区
6,ftyl,园岭,福田区
7,gmfh,凤凰,光明区
8,bafh,福海,宝安区
9,bafy,福永,宝安区
10,gmgom,公明,光明区
11,gmgm,光明,光明区
12,gmmt,马田,光明区
13,baxa,新安,宝安区
14,basj,沙井,宝安区
15,basy,石岩,宝安区
16,basg,松岗,宝安区
17,baxx,西乡,宝安区
18,ftml,梅林,福田区
19,dpky,葵涌,大鹏新区
20,ftlh,莲花,福田区
21,fthqb,华强北,福田区
22,fthf,华富,福田区
23,ftft,福田,福田区
24,ftfb,福保,福田区
25,dpdp,大鹏,大鹏新区
26,ftxmh,香蜜湖,福田区
27,ftst,沙头,福田区
28,ftny,南园,福田区
29,lgpd,坪地,龙岗区
30,dpna,南澳,大鹏新区
31,lohdl,大浪,龙华区
32,lohfc,福城,龙华区
33,lohgh,观湖,龙华区
34,lohgl,观澜,龙华区
35,lohmz,民治,龙华区
36,lhcz,翠竹,罗湖区
37,lhdh,东湖,罗湖区
38,lhdm,东门,罗湖区
39,lhdx,东晓,罗湖区
40,lhgy,桂园,罗湖区
41,lhhb,黄贝,罗湖区
42,lhlt,莲塘,罗湖区
43,lhnh,南湖,罗湖区
44,nsnt,南头,南山区
45,nssh,沙河,南山区
46,nssk,蛇口,南山区
47,nsty,桃源,南山区
48,ytms,梅沙,盐田区
49,nsxl,西丽,南山区
50,nsyh,粤海,南山区
51,nszs,招商,南山区
52,yths,海山,盐田区
53,lhqsh,清水河,罗湖区
54,lhsg,笋岗,罗湖区
55,nsns,南山,南山区
56,ytstj,沙头角,盐田区
57,ytyt,盐田,盐田区
58,lglc,龙城,龙岗区
59,lgph,平湖,龙岗区
60,lgbj,布吉,龙岗区
61,psps,坪山,坪山区
62,lgbt,坂田,龙岗区
63,lgng,龙岗,龙岗区
64,pskz,坑梓,坪山区
65,psml,马峦,坪山区
66,lgbl,宝龙,龙岗区
67,pssj,石井,坪山区
68,pslt,龙田,坪山区
69,psbl,碧岭,坪山区
70,lohlh,龙华,龙华区
71,lgjh,吉华,龙岗区
72,lgys,园山,龙岗区
73,lghg,横岗,龙岗区
74,lgnw,南湾,龙岗区
